split,form_code,field,fill_rate,unassigned_rate
train,12,위임사항_피보험자,0.944,0.0005
train,12,사고_년,0.986,0.0005
train,12,사고_월,0.996,0.0005
train,12,사고_일,0.995,0.0005
train,12,보험상품명,0.885,0.0005
train,12,증권번호,0.961,0.0005
train,12,계약자명,0.941,0.0005
train,12,피보험자명,0.949,0.0005
train,12,작성_년,0.984,0.0005
train,12,작성_월,0.994,0.0005
train,12,작성_일,0.993,0.0005
train,12,위임인_성명,0.941,0.0005
train,12,위임인_주민번호,0.965,0.0005
train,12,위임인_연락처,0.966,0.0005
train,12,수임인_성명,0.954,0.0005
train,12,수임인_주민번호,0.959,0.0005
train,12,수임인_연락처,0.962,0.0005
train,12,수임인_관계,0.968,0.0005
train,12,수임인_은행명,0.97,0.0005
train,12,수임인_계좌번호,0.954,0.0005
train,15,보험종목,0.865,0.0001
train,15,증권번호,0.952,0.0001
train,15,계약자,0.937,0.0001
train,15,가입금액,0.89,0.0001
train,15,타사보험회사,0.91,0.0001
train,15,타사가입금액,0.898,0.0001
train,15,사고일자,0.979,0.0001
train,15,사고시각,0.992,0.0001
train,15,사고원인,0.887,0.0001
train,15,사고장소,0.927,0.0001
train,15,사고경위,0.931,0.0001
train,15,청구_년,0.993,0.0001
train,15,청구_월,0.994,0.0001
train,15,청구_일,0.994,0.0001
train,15,청구인_성명,0.941,0.0001
train,15,이메일,0.907,0.0001
train,15,관계,0.964,0.0001
train,15,주소_시도,0.932,0.0001
train,15,주소_시군구,0.948,0.0001
train,15,주소_도로명,0.915,0.0001
train,15,주소_번지,0.979,0.0001
train,15,연락처,0.961,0.0001
train,16,피보험자_성명,0.944,0.0001
train,16,주민번호,0.951,0.0001
train,16,회사명,0.925,0.0001
train,16,부서명,0.902,0.0001
train,16,직업,0.94,0.0001
train,16,주소_시도,0.934,0.0001
train,16,주소_시군구,0.961,0.0001
train,16,주소_도로명,0.951,0.0001
train,16,주소_번지,0.981,0.0001
train,16,보상안내_성명,0.942,0.0001
train,16,보상안내_관계,0.968,0.0001
train,16,연락처,0.961,0.0001
train,16,이메일,0.928,0.0001
train,16,타사보험1,0.907,0.0001
train,16,사고_년,0.982,0.0001
train,16,사고_월,0.993,0.0001
train,16,사고_일,0.991,0.0001
train,16,사고_시,0.994,0.0001
train,16,사고_분,0.988,0.0001
train,16,진단명,0.923,0.0001
train,16,사고장소,0.943,0.0001
train,16,치료병원,0.871,0.0001
train,16,사고경위,0.932,0.0001
train,16,계좌번호,0.956,0.0001
train,16,은행명,0.963,0.0001
train,16,예금주,0.939,0.0001
train,16,작성_년,0.973,0.0001
train,16,작성_월,0.991,0.0001
train,16,작성_일,0.989,0.0001
train,16,청구권자,0.928,0.0001
val,12,위임사항_피보험자,0.96,0.0003
val,12,사고_년,0.995,0.0003
val,12,사고_월,0.995,0.0003
val,12,사고_일,0.995,0.0003
val,12,보험상품명,0.925,0.0003
val,12,증권번호,0.975,0.0003
val,12,계약자명,0.905,0.0003
val,12,피보험자명,0.935,0.0003
val,12,작성_년,0.99,0.0003
val,12,작성_월,0.995,0.0003
val,12,작성_일,0.995,0.0003
val,12,위임인_성명,0.965,0.0003
val,12,위임인_주민번호,0.985,0.0003
val,12,위임인_연락처,0.965,0.0003
val,12,수임인_성명,0.95,0.0003
val,12,수임인_주민번호,0.975,0.0003
val,12,수임인_연락처,0.985,0.0003
val,12,수임인_관계,0.965,0.0003
val,12,수임인_은행명,0.975,0.0003
val,12,수임인_계좌번호,0.935,0.0003
val,15,보험종목,0.895,0.0
val,15,증권번호,0.976,0.0
val,15,계약자,0.928,0.0
val,15,가입금액,0.923,0.0
val,15,타사보험회사,0.928,0.0
val,15,타사가입금액,0.909,0.0
val,15,사고일자,0.976,0.0
val,15,사고시각,0.976,0.0
val,15,사고원인,0.909,0.0
val,15,사고장소,0.952,0.0
val,15,사고경위,0.952,0.0
val,15,청구_년,0.995,0.0
val,15,청구_월,0.986,0.0
val,15,청구_일,0.976,0.0
val,15,청구인_성명,0.938,0.0
val,15,이메일,0.88,0.0
val,15,관계,0.967,0.0
val,15,주소_시도,0.933,0.0
val,15,주소_시군구,0.933,0.0
val,15,주소_도로명,0.943,0.0
val,15,주소_번지,0.995,0.0
val,15,연락처,0.971,0.0
val,16,피보험자_성명,0.969,0.0
val,16,주민번호,0.979,0.0
val,16,회사명,0.953,0.0
val,16,부서명,0.948,0.0
val,16,직업,0.969,0.0
val,16,주소_시도,0.953,0.0
val,16,주소_시군구,0.969,0.0
val,16,주소_도로명,0.969,0.0
val,16,주소_번지,0.984,0.0
val,16,보상안내_성명,0.974,0.0
val,16,보상안내_관계,0.969,0.0
val,16,연락처,0.969,0.0
val,16,이메일,0.937,0.0
val,16,타사보험1,0.948,0.0
val,16,사고_년,0.995,0.0
val,16,사고_월,0.995,0.0
val,16,사고_일,1.0,0.0
val,16,사고_시,0.995,0.0
val,16,사고_분,0.984,0.0
val,16,진단명,0.948,0.0
val,16,사고장소,0.958,0.0
val,16,치료병원,0.869,0.0
val,16,사고경위,0.953,0.0
val,16,계좌번호,0.979,0.0
val,16,은행명,0.984,0.0
val,16,예금주,0.958,0.0
val,16,작성_년,1.0,0.0
val,16,작성_월,0.99,0.0
val,16,작성_일,0.984,0.0
val,16,청구권자,0.942,0.0
