form_code,field,documents,labeled,unlabeled,blank,labeled_no_ink
12,위임사항_피보험자,200,192,8,0,0
12,사고_년,200,199,1,0,0
12,사고_월,200,199,1,0,0
12,사고_일,200,199,1,0,0
12,보험상품명,200,185,15,0,0
12,증권번호,200,195,5,0,0
12,계약자명,200,181,19,0,0
12,피보험자명,200,187,13,0,0
12,작성_년,200,198,2,0,0
12,작성_월,200,199,1,0,0
12,작성_일,200,199,1,0,0
12,위임인_성명,200,193,7,0,0
12,위임인_주민번호,200,197,3,0,0
12,위임인_연락처,200,193,7,0,0
12,수임인_성명,200,190,10,0,0
12,수임인_주민번호,200,195,5,0,0
12,수임인_연락처,200,197,3,0,0
12,수임인_관계,200,193,7,0,0
12,수임인_은행명,200,195,5,0,0
12,수임인_계좌번호,200,187,13,0,0
15,보험종목,209,187,22,0,0
15,증권번호,209,204,5,0,0
15,계약자,209,194,15,0,0
15,가입금액,209,193,16,0,0
15,타사보험회사,209,194,15,0,0
15,타사가입금액,209,190,19,0,0
15,사고일자,209,204,5,0,0
15,사고시각,209,204,5,0,0
15,사고원인,209,190,19,0,0
15,사고장소,209,199,10,0,0
15,사고경위,209,199,10,0,0
15,청구_년,209,208,1,0,0
15,청구_월,209,206,3,0,0
15,청구_일,209,204,5,0,0
15,청구인_성명,209,196,13,0,0
15,이메일,209,184,25,0,0
15,관계,209,202,7,0,0
15,주소_시도,209,195,14,0,0
15,주소_시군구,209,195,13,1,0
15,주소_도로명,209,197,11,1,0
15,주소_번지,209,208,0,1,0
15,연락처,209,203,5,1,0
16,피보험자_성명,191,185,6,0,0
16,주민번호,191,187,4,0,0
16,회사명,191,182,9,0,0
16,부서명,191,181,10,0,0
16,직업,191,185,6,0,0
16,주소_시도,191,182,9,0,0
16,주소_시군구,191,185,6,0,0
16,주소_도로명,191,185,6,0,0
16,주소_번지,191,188,3,0,0
16,보상안내_성명,191,186,4,1,0
16,보상안내_관계,191,185,6,0,0
16,연락처,191,185,6,0,0
16,이메일,191,179,12,0,0
16,타사보험1,191,181,10,0,0
16,사고_년,191,190,1,0,0
16,사고_월,191,190,1,0,0
16,사고_일,191,191,0,0,0
16,사고_시,191,190,1,0,0
16,사고_분,191,188,3,0,0
16,진단명,191,181,10,0,0
16,사고장소,191,183,8,0,0
16,치료병원,191,166,25,0,0
16,사고경위,191,182,9,0,0
16,계좌번호,191,187,4,0,0
16,은행명,191,188,3,0,0
16,예금주,191,183,8,0,0
16,작성_년,191,191,0,0,0
16,작성_월,191,189,1,1,0
16,작성_일,191,188,2,1,0
16,청구권자,191,180,11,0,0
